Name,canonical_smiles,selfies,BACE1,BACE2,BE Ratio
GA2243,CN1CC2N=C3N=CNN=C([N-]C=O)C2C(=O)C=CNC[C@H](Oc2cc4ccc2cc4)NC3C=NOC=NC=C2C=CN=C21,[C][=N][O][C][=N][C][=C][C][=C][N][=C][Ring1][Branch1][N][Branch1][C][C][C][C][N][=C][N][=C][NH1][N][=C][Branch2][Ring1][Ring2][N-1][=Branch1][C][=O][O][C][=C][Ring1][Br][N][C][Ring1][Branch1][=O][C][=Branch1][C][=O][O][C][Ring1][N][C][=Branch1][C][=O][C][=C][N][C][C@H1][Branch1][P][O][C][=C][C][=C][C][=Branch1][#Branch2][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][N][Ring2][Ring1][Branch2][C][Ring2][Ring2][P][Ring2][Ring1][N],-11.922,-11.305,1.054577620521893
GA2935,O=C1CC=CN(N=CCCc2cnc3ccncc3nc(=O)ccoc2=O)NCCN=CCC(=O)N2CCCC2N1,[C][C][=N][C][C][N][N][Branch2][Ring1][N][N][=C][C][C][Branch2][Branch1][C][C][=C][N][=C][C][=C][N][=C][C][Ring1][=Branch1][=N][C][=Branch1][C][=O][C][=C][Ring1][O][O][C][Ring1][S][=O][=C][Branch1][C][Cl][C][=Branch1][C][=O][C][=C][Ring1][=N][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=C][C][=C][C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][N][Ring1][Branch1][C][Ring2][Ring2][P][=O][=C][Ring2][Branch1][C][C][Ring2][Ring2][N][=O],-12.851,-12.305,1.0443722064201546
GA1939,CC1=CC(CC2C=C3C=CN=CN(C=O)ON4C5C(=O)C=NNC(=C35)NCCC(=O)N24)CON=NN=N1,[C][O][N][=N][N][=N][C][Branch1][C][C][=C][C][Ring1][N][C][C][C][=C][C][=C][N][=C][N][Branch1][P][=Branch1][C][=O][Branch1][C][O-1][N][C][=Branch1][=O][=O][O][O][C][Ring1][O][=O][N][Branch1][O][N][Ring1][=N][C][=Branch1][C][=O][C][C][N][C][C][=Branch1][C][=O][C][Ring1][P][=N][N][C][=Branch1][Branch2][=C][Ring1][Branch2][Ring2][Ring1][Branch2][C][Ring1][Branch2][=O],-11.142,-10.814,1.0303310523395597
GA2780,CC(=O)Nc1c(O)ccn2c(nocncccccc1C1CCN=CN=CN(CF)C=CC1=O)C2,[C][C][=N][O][C][=N][C][=C][C][=C][C][=C][Branch2][Branch1][Ring1][C][C][C][N][=C][N][=C][N][Branch1][#Branch2][C][=C][Branch1][=Branch1][C][Ring1][O][=O][C][Branch1][C][F][=C][Ring1][#Branch2][O][C][=Branch1][C][=O][N][Ring1][=N][Cl][C][Branch1][C][Cl][=C][Ring1][P][C][=Branch1][C][=O][O][C][NH1][N][=C][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][=C][Branch1][C][O][C][=C][Ring1][N][N][Ring2][Ring2][Ring1][Ring2][Ring2][Branch2][=Ring1][P],-11.078,-10.753,1.0302241235004184
GA1284,CC=c1oc(=O)c(CCl)c(C(=O)O)[nH]cnc1=CCC1CC1NC1=NCCOCN=CC2=CN2CC1,[C][C][=N][C][O][C][C][N][=C][Branch2][Branch1][=C][N][C][C][C][Ring1][Ring1][C][C][=C][N][=C][NH1][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Branch1][=N][C][=Branch1][C][=O][O][C][Ring1][=N][=C][Ring1][Cl][C][Branch1][C][Cl][C][=Branch1][C][=O][C][=C][C][=Branch1][C][=O][N][N][=C][Branch1][Branch2][C][C][=N][O][N][=Ring1][Branch1][N][=C][Ring1][#Branch2][Ring1][N][=C][N][Ring2][Ring2][Branch2][C][=Ring2][Ring2][Branch2][Ring2][Ring2][N],-12.419,-12.121,1.0245854302450292
GA1862,CC=NC(N)=C1CC(=O)C(N2N=CCNC2C(=O)O)C=CC=CNCCCCCCN1,[C][C][=N][C][Branch1][C][N][=C][Branch2][Ring1][Branch1][N][C][C][C][C][C][C][N][C][=C][C][=C][C][N][N][=C][C][Branch1][#Branch2][N][C][Ring1][=Branch1][C][=Branch1][C][=O][O][=C][C][Ring1][N][=O][Branch1][C][Cl][C][Branch1][C][F][=C][Branch1][C][C][C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][#Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][N][C][Ring2][Branch1][Ring1][=O][=C][Ring2][Ring2][P],-11.138,-10.962,1.0160554643313264
GA3118,CN(C=CC1(O)ON=CC2[CH]C[C@@]23CC(C=O)=CN[CH]CN13)[C]1C(CF)=C2O[N-]C3=C(Cl)C1CC=C3N=C2N,[C][C][=N][O][C][Branch2][Branch1][C][C][=C][N][Branch1][C][C][C@][C][C][C][=C][N][=C][Branch1][C][N][C][=Branch1][Branch2][=C][Ring1][#Branch2][C][Branch1][C][F][=O][N-1][C][Ring1][O][=C][Ring1][#C][Cl][C][Ring2][Ring1][Ring1][C][Branch1][C][C][C][N][C][C][N][C][=Branch1][C][=O][N][C][C@@H1][Branch2][Ring1][Ring1][N][C][=C][Branch1][Ring1][C][=O][C][C@@][Ring1][#Branch2][Ring2][Ring2][=N][C][C@@H1][Ring2][Ring2][N][Ring1][P],-13.036,-12.954,1.0063300910915547
GA4232,CC1=NC2COCCN2C[N+](Cc2ccccc2CC2NC=NCN=C2N2C=NC(Cl)=CC=CC=CO2)C(=O)C1,[C][C][=Branch1][C][=O][N+1][Branch2][=Branch1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][C][=N][=C][N][=C][Branch2][Ring1][C][N][O][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][C][Cl][N][=C][Ring1][O][Ring1][#Branch1][Branch1][C][O][C][Ring1][=C][=O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][C][=C][Ring1][=Branch2][N][C][Ring2][Ring1][Ring1][=O][N][C][C][N][C][C][O][C][C][Ring1][=Branch1][N][=C][Ring2][Branch1][Ring2][C],-13.15,-13.082,1.005197981959945
GA322,C=C1N=CNN(C2=NC=CC=CN=CN=C(OCC)C(N=C3N=C4OCOC(=O)C4=C3C)C2)C=C(N)C=CN1,[C][C][O][C][=N][C][=N][C][=C][C][=C][N][=C][Branch2][Branch1][C][C][C][Ring1][N][N][=C][N][=C][C][=Branch1][Branch1][=C][Ring1][Branch1][C][Branch1][#Branch2][C][=Branch1][C][=O][O][C][O][Ring1][=Branch2][=C][Ring1][#C][Cl][C][Branch1][=Branch1][C][Branch1][C][N][=O][O][C][=Branch1][C][=O][C][=C][C][=Branch1][C][=O][N][Ring1][=Branch1][N][C][=N][C][Branch1][N][N][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][Ring1][O][=C][Ring2][Ring2][Branch1][Ring2][Ring1][P],-11.022,-11.092,0.9936891453299675
GA2618,CNCN1C=NC=NNCCC(C=C[CH]Cn2cnnn2)NC=CC(Cl)=C(Cl)OO1,[C][=N][N][=N][N][Ring1][Branch1][C][C@H1][C][=C][C][Branch2][Ring1][Ring1][C][C][N][N][=C][N][=C][N][Branch1][=Branch1][C][N][C][Ring1][Ring2][=O][Branch1][O][N][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl][=N][Ring1][P][=C][Branch1][Ring1][C][Cl][C][=Branch1][C][=O][O][C][=C][N][N][=C][C][Branch2][Ring1][Ring1][N][N][C][=Branch1][C][=O][O][C@@][Branch1][C][O][C][C@@H1][Ring1][Branch2][Ring1][Ring2][=C][Ring1][P][Ring2][Ring2][#Branch1],-11.204,-11.304,0.9911535739561218
GA4604,Nc1nc(N)c2c(n1)CC(=O)C1CC1C(COC(=O)OC[O-])C=CC=CNC=CCCC2,[C][C][=N][C][Branch1][C][N][=N][C][Branch1][C][N][=C][Ring1][Branch2][C][C][C][C][=C][N][C][=C][C][=C][C][Branch2][Branch1][N][C][O][C][=Branch1][C][=O][O][=C][Ring1][Branch1][O-1][O][C][=C][Ring1][Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][C][=C][Ring1][Branch2][C][N][C][=Branch1][C][=O][C][C][Branch1][N][C][C][C][S][C][=Branch1][C][=O][N][Ring1][Branch2][N][C][=Branch1][C][=O][C][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][Ring2][Ring2][N][=O],-11.389,-11.576,0.9838458880442292
GA781,CC=NC(=O)NCC=C(Cl)C1CCCC=C1N1C=CCOc2cccnc21,[C][C][=N][C][=Branch1][C][=O][N][C][C][=C][Branch2][Ring1][Branch2][C][C][C][C][C][=C][Ring1][=Branch1][N][C][=C][C][Branch1][N][O][C][=C][C][=C][N][=C][Ring1][=Branch1][Ring1][O][Cl][=C][Branch1][C][O][C][Branch1][Ring1][O][C][=C][Ring1][P][Cl][C][Branch1][C][C][=C][C][=Branch2][Ring1][#Branch1][=N][N][Branch2][Ring1][C][N][C][=Branch1][C][=O][N][C][C][N][C][Ring1][Branch1][C][Ring1][=Branch1][=O][N][=Ring2][Ring2][O][C],-11.3,-11.511,0.9816697072365564
GA110,O=COC1=CC(Cl)=C2C1=NC=CC(F)(Cl)C2CNc1cnnnc[nH]nc1,[C][=N][N][C][=N][N][=N][C][=C][Ring1][N][NH1][C][C][C][Branch2][Ring1][N][C][=C][N][=C][C][=Branch1][N][=C][C][Branch1][C][Cl][=C][Ring1][=Branch1][Ring1][O][F][O][C][Ring1][N][=O][C][Branch1][C][F][Branch1][C][F][Cl][C][Ring2][Ring1][=Branch1][=C][C][C][=Branch1][C][=O][N][C][=N][C][=C][N][Branch1][C][C][C][=Branch1][C][=O][C][=Ring1][Branch2][C@@][Ring1][N][Ring2][Ring1][Branch1][C],-11.385,-11.609,0.980704625721423
GA4752,NCc1cccc(N2C=NCC=CN=CN=CCC[CH]COCC2)c1/N=C\NC1=NOC1=O,[C][C][C@H1][C][O][C][C][N][Branch2][Branch1][N][C][=C][C][=C][C][Branch1][Ring1][C][N][=C][Ring1][Branch2][/N][=C][\NH1][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=N][Branch1][Ring1][C][=O][O][C][Ring1][=N][=C][C][Ring1][=C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][C][=C][C][=Branch1][C][=O][N][C][=C][Branch1][Branch2][C][N][C][=N][C][=Ring1][Branch1][C][=C][N][=C][Ring1][O][N][=C][Ring2][Ring1][C][Ring2][Ring2][Branch2][=Ring2][Ring2][Branch2][N][Ring2][Ring2][Ring2],-10.99,-11.207,0.980637101811368
GA4778,CCC=CC(CC1CN=C2CN1c1cccc[n+]1C1=C2C=CC1=O)Nn1cccn1,[C][C][C][=C][C][Branch1][Branch2][N][N][C][=C][C][=N][Ring1][Branch1][C][C][C][N][=C][C][N][Branch2][Branch1][C][C][=C][C][=C][C][=N+1][Ring1][=Branch1][C][=C][Ring1][O][C][=C][C][Ring1][Branch1][=O][O][C][=C][Branch1][C][F][C][=Branch1][C][=O][C][C][=C][Ring1][Branch2][C][C][=C][C][NH1][C][=C][C][=Ring1][Branch1][C][C][C][C][Ring1][=N][Ring1][=Branch1][=C][C][=Branch1][Branch2][=C][Ring2][Ring2][C][Ring2][Ring2][N][C][=O][N][Ring2][Branch1][Branch2],-11.875,-12.156,0.9768838433695294
GA956,CN=c1ccc(=O)ccn2c(oc1=CCl)=C(CCC(N=C(C)C)NN)C=CN=CC2,[C][C][Branch1][C][C][=N][C][Branch1][Ring1][N][N][C][C][C][Branch2][Ring1][C][C][=C][N][=C][C][N][C][=C][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][O][O][C][Ring1][=Branch1][=C][Ring1][=C][Cl][Branch1][C][O][C][=Branch1][C][=O][C][=C][Branch1][C][C][C][=N][C][=C][C][Branch2][Ring1][Ring1][N][C][=Branch1][C][=O][C][C][C][N][C][C][C][Ring1][=Branch1][C][Ring1][Branch1][=O][=C][Ring2][Ring2][#Branch1][C][C][N][Ring2][Branch1][Ring2][C],-11.384,-11.669,0.9755763133087668
GA2802,CC1=CC(=O)C=C1C(Cl)=NC=CC=C(C=CC1=CC=CON=COC=NC1)CN,[C][O][C][=N][O][C][=C][C][=C][Branch2][Branch1][N][C][=C][C][Branch1][Ring1][C][N][=C][C][=C][N][=C][Branch1][N][C][=C][C][=Branch1][C][=O][/C][=C][Ring1][=Branch1][C][Cl][O][C@][Ring1][=N][Branch1][C][Cl][C][Ring1][#C][C][=Branch1][C][=O][N][=C][Ring2][Ring1][#Branch1][O][C][=Branch1][C][=O][N][C@H1][N][=C][Branch1][Ring1][C][O][N][=C][Ring1][#Branch2][N][=Ring2][Ring1][P],-12.44,-12.795,0.972254787026182
GA2879,CC=NC(C)N1CCCCCCC=CC(=CC2=CN(n3cnnc3)ON=C2Cl)C(C(C)=O)OC1,[C][C][=N][C][Branch1][C][C][N][Branch2][Ring1][=N][C][C][C][C][C][C][C][=C][C][=C][C][=C][N][Branch1][Branch2][N][C][=N][N][=C][Ring1][Branch1][O][N][=C][Ring1][O][Cl][Branch1][C][O][C][Ring1][P][C][Branch1][C][C][=O][N][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][Branch2][Ring1][C][C][Branch1][Branch2][C][N][N][O][C][Branch1][C][C][=O][C][Ring2][Ring2][Branch1][=O][C][Ring2][Ring2][N][=O],-11.578,-11.913,0.9718794594140854
GA2791,CC(=O)N1C=NC=CCC2=C3C=CC(=CC=CNNC3=O)C(=C1OC(=O)N1Cc3ccnnc3C1)CN2,[C][C][=Branch1][C][=O][N][Branch2][Branch1][C][C][=N][C][=C][Branch2][Ring1][C][C][C][=C][C][=Branch1][C][=O][N][NH1][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][O][C][=C][N][=C][Branch1][Branch1][C][Ring1][=Branch1][Cl][O][C][O][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch1][C][=C][C][Branch2][Ring1][C][O][C][=Branch1][C][=O][N][C][C][=N][N][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][=C][Ring1][P][C][N][=Ring2][Ring1][N][C][Ring2][Ring2][O][=O],-11.043,-11.394,0.9691943127962084
GA2431,CC(C)=NC(N)=CC1(O)CCC(C2=CNC(O)CN2c2ncccc2Cl)C1=O,[C][C][Branch1][C][C][=N][C][Branch1][C][N][=C][C][Branch2][Ring1][Branch2][C][C][C][C][=C][N][C][Branch1][=C][C][N][Ring1][=Branch1][C][=N][C][=C][C][=C][Ring1][=Branch1][Cl][O][Branch1][C][O][C][Ring1][P][=O][=C][Branch1][C][O][C][C][Branch1][C][C][=N][C][=C][Ring1][#Branch1][C][C][=Branch1][C][=O][C][=C][N][Ring1][Branch2][C][Ring1][=N][C][C][C][Ring1][Ring2][C][=C][Branch1][C][Cl][C][N][=C][Ring1][#Branch1][C][Ring2][Branch1][Ring2][=O][C][C],-11.223,-11.601,0.9674166020170676
GA1180,CCC1CN=CN=CNC=C(C(=O)OC=COC)C1C=NCn1cnnn1,[C][=N][N][=N][N][Ring1][Branch1][C][N][=C][C][C][Branch1][Ring1][C][C][C][N][=C][N][=C][N][C][=C][Branch1][N][C][=Branch1][C][=O][O][C][Ring1][O][=C][O][C][Ring1][N][=O][C][Branch1][C][Cl][=N][C][Ring1][P][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=N][N][C][=C][N][=C][Ring1][Branch1][N][Branch2][Ring1][Branch2][C][=Branch1][C][=O][C][=Ring1][Branch2][Ring2][Ring1][Ring2][N][Ring2][Ring1][#Branch2],-11.241,-11.66,0.964065180102916
GA4156,Cc1ccccc1C(=O)NC=CCC(Cl)=C(C(=O)NCN)C(C)O,[C][C][Branch1][C][O][C][Branch1][Branch2][C][=Branch1][C][=O][N][C][/N][=C][Branch2][Ring1][C][C][C][=C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Cl][O][Ring1][=C][B-1][Branch1][C][O][Branch1][Ring1][C][O][C][Ring2][Ring1][Branch1][=C][C][=C][Ring1][=Branch1][C][C][C@H1][Ring1][Ring2][C][=Branch1][C][=O][N][C][C][N][C][Ring1][Branch1][C][C][C][C][Ring1][#Branch1][C][Ring2][Ring2][N][=O],-11.717,-12.243,0.957036674017806
GA4289,CCc1c[nH]cc1C=CC(ONOC)=C1N=C2C=CN=C(C(N)=O)C1=C2Cl,[C][O][=N][O][C][Branch1][N][C][=C][C][=C][NH1][C][=C][Ring1][Branch1][C][C][=C][N][=C][C][=C][N][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][Ring1][O][=C][Ring1][#Branch2][Cl][N][Branch1][C][Cl][C][Ring1][=N][C][Branch2][Ring1][C][N][C][=C][C][=Branch1][N][=N][N][=C][Branch1][C][N][C][Ring1][=Branch1][Ring1][#Branch2][C][Ring1][#C][Ring2][Ring1][Branch2][NH1][Ring2][Ring1][P],-11.923,-12.46,0.9569020866773676
GA482,O=CC(CC=CC1=CC=CNN=COCCC=CNC=C1)N1N=CC=C2OC(c3ccncc3Cl)=C2OC1=O,[C][C][O][C][=N][N][C][=C][C][=C][Branch2][Branch1][N][C][=C][C][C][Branch2][Ring1][N][N][N][=C][C][=C][O][C][Branch1][#Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][Cl][=C][Ring1][O][O][C][Ring1][P][=O][Branch1][=Branch1][C][=Branch1][C][=O][Cl][C][Ring1][=N][=O][N][C][Branch1][C][N][=O][N][C][C][=C][N][Branch1][Branch2][N][=C][C][=C][Ring1][Branch1][N][C][Ring2][Ring2][Ring2][=C][Ring1][O][Ring2][Ring2][#Branch1],-13.7,-14.365,0.9537069265576053
GA4514,CNC(=O)C1C(CCC(C)(C(C)=O)N(C)C(C)=O)CCC=CC=CNC=CNC(=O)OC1O,[C][C][=Branch1][C][=O][N][Branch1][C][C][C][Branch2][Ring1][=C][C][C][C][C][C][C][=C][C][=C][N][C][=C][N][Branch2][Ring1][=N][C][=Branch1][N][=O][N][Ring1][#Branch2][=Branch1][C][=O][C][Ring1][=C][=O][O][C][Branch1][C][O][C][Ring1][P][C][=Branch1][C][=O][N][C][Branch1][C][C][C][Branch1][C][C][=O][N][C][Ring2][Ring1][Branch2][=O][O][C][Branch1][N][O][C][Branch1][C][C][=O][NH1][C][Ring1][#Branch1][=O][=N][Ring2][Ring2][Ring2],-11.536,-12.153,0.9492306426396774
GA3358,CNC1(N2C=CCC2CC2=CN=CC=c3c(=O)[nH]c(OO)c(OC)c3=C2Cl)CC=NOCC1,[C][C][=N][O][C][C][C][Branch2][Branch1][N][N][C][=C][C][C][Ring1][Branch1][C][C][=C][N][=C][C][=C][Branch2][Branch1][N][C][=Branch1][C][=O][=N][C][Branch1][Ring1][O][=O][=C][Branch1][Ring1][O][C][C][Ring1][O][=C][Ring1][P][Cl][C][Branch1][C][C][=O][C][=Branch1][C][=O][N][C][C][N][C][=N][C][=C][Ring1][Branch2][N][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][C][Ring2][Ring2][N][=O][C][Ring2][Ring2][Branch2][=Ring2][Ring1][N][C][Ring2][Branch1][Ring2],-11.957,-12.598,0.949118907763137
GA3258,C=C1C=CC=NNC(=CCc2[nH]cnc2-c2ccncc2)C2=[N+]C(=O)C(Cl)=CC(Cl)C2=C1,[C][C][=N][C][=C][C][Branch2][=Branch1][O][C][N][=C][N][C][=Ring1][Branch1][C][C][=C][NH1][N][=C][C][=C][C][=Branch1][#Branch1][=C][Ring1][=Branch1][Ring1][O][F][C][=C][C][Ring1][O][=N+1][Ring1][N][C][=Branch1][C][=O][C][Branch1][C][Cl][=C][C][Ring1][=Branch2][Cl][C][=Branch1][C][=O][N][Branch2][Ring1][=Branch1][C][C@@][C][N][Branch1][#Branch1][C][=C][C][Ring1][Branch1][=O][C][C][Ring1][#Branch2][NH1][C][Ring2][Branch1][Ring2][=Ring2][Ring2][C],-11.302,-11.925,0.9477568134171906
