canonical_smiles,selfies,logBB
CN(C)Cc1ccc(CSCCNC2N=CC=C2[N+](=O)[O-])o1,[C][N][Branch1][C][C][C][C][=C][C][=C][Branch2][Ring1][C][C][S][C][C][N][C][N][=C][C][=C][Ring1][Branch1][N+1][=Branch1][C][=O][O-1][O][Ring2][Ring1][C],-1.12
CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12,[C][N][Branch1][C][C][C][C][C][=C][NH1][C][=C][C][=C][Branch1][N][C][C][C][O][C][=Branch1][C][=O][N][Ring1][=Branch1][C][=C][Ring1][S][Ring1][=N],-1.01
CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,[C][N][C][C][=Branch1][C][=O][N][C][Branch2][Ring2][Ring1][C][C][=C][Branch1][N][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][Ring1][=N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][C][Ring2][Ring1][O][=O],-1.0
COC(=O)[C@@H]1C(=O)C=C(Nc2cccc([N+](=O)[O-])c2)C[C@H]1C,[C][O][C][=Branch1][C][=O][C@@H1][C][=Branch1][C][=O][C][=C][Branch1][P][N][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][C][C@H1][Ring1][P][C],-1.0
Cc1cc2ccccc2n1CCNC(=O)/C=C/c1ccc(OCCO)c(OCCO)c1,[C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][C][N][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][Branch1][Branch1][O][C][C][O][C][Branch1][Branch1][O][C][C][O][=C][Ring1][=C],-1.0
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@@H](O)CN1CC2CCCCC2C[C@H]1C(=O)CNC(C)(C)C,[C][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][O][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C][N][C][C][C][C][C][C][C][Ring1][=Branch1][C][C@H1][Ring1][#Branch2][C][=Branch1][C][=O][C][N][C][Branch1][C][C][Branch1][C][C][C],-0.93
CCS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,[C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][Branch2][C][=C][C][=C][C][=C][Branch1][C][O][C][=C][C][Ring1][#Branch1][=C][Ring1][O][O][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][#C][C][=C][Ring2][Ring1][P],-0.92
Nc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)n1,[N][C][=C][C][=C][C][Branch2][Ring2][=C][C][N][C][C][C][Branch2][Ring1][P][N][C][=Branch1][C][=O][C@][Branch1][C][O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][C][C][C][Branch1][C][F][Branch1][C][F][C][Ring1][#Branch1][C][C][Ring2][Ring1][Branch2][=N][Ring2][Ring1][#C],-0.89
CC1CCN(CCC2CCN2S(=O)(=O)C2=CC(O)=CCC2)CC1,[C][C][C][C][N][Branch2][Ring1][O][C][C][C][C][C][N][Ring1][Ring2][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][Branch1][C][O][=C][C][C][Ring1][#Branch1][C][C][Ring2][Ring1][=Branch1],-0.89
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2ccccc2)cc1,[N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][P][C][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][C],-0.85
CS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][Branch2][C][=C][C][=C][C][=C][Branch1][C][O][C][=C][C][Ring1][#Branch1][=C][Ring1][O][O][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][#C][C][=C][Ring2][Ring1][P],-0.81
C=C(C)C(=O)/C(=C/C(=O)O)OC,[C][=C][Branch1][C][C][C][=Branch1][C][=O][/C][=Branch1][#Branch1][=C][/C][=Branch1][C][=O][O][O][C],-0.8
CCn1nnc(NC(=O)C2c3ccccc3Oc3ccccc32)n1,[C][C][N][N][=N][C][Branch2][Ring1][#Branch2][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=C][=N][Ring2][Ring1][=Branch1],-0.8
CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1,[C][N][C][C][N][Branch2][Branch1][Ring1][C][C][=C][C][=C][Branch2][Ring2][=Branch1][N][C][=N][C][=C][Branch1][C][Cl][C][Branch2][Ring1][=Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][=N][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][O][C][C][Ring2][Ring2][C],-0.8
Oc1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,[O][C][=C][C][=C][Branch2][Ring2][Branch2][C][=C][C][=C][C][=C][Branch1][C][O][C][=C][C][Ring1][#Branch1][=C][Ring1][O][O][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][#C][C][=C][Ring2][Ring1][P],-0.77
CN(C)Cc1ccc(CSCCNc2cc(Cc3ccccc3)c[nH]2)o1,[C][N][Branch1][C][C][C][C][=C][C][=C][Branch2][Ring1][Branch2][C][S][C][C][N][C][=C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][NH1][Ring1][N][O][Ring2][Ring1][=Branch1],-0.73
Cc1cn(C2CC(N[NH+]=[N-])C(CO)O2)c(=O)[nH]c1=O,[C][C][=C][N][Branch1][P][C][C][C][Branch1][Ring2][N][NH1+1][=N-1][C][Branch1][Ring1][C][O][O][Ring1][#Branch2][C][=Branch1][C][=O][NH1][C][Ring1][P][=O],-0.72
Cc1cn([C@@H]2C[C@H](N=[N+]=[N-])[C@H](CO)O2)c(=O)[nH]c1=O,[C][C][=C][N][Branch1][P][C@@H1][C][C@H1][Branch1][Ring2][N][=N+1][=N-1][C@H1][Branch1][Ring1][C][O][O][Ring1][#Branch2][C][=Branch1][C][=O][NH1][C][Ring1][P][=O],-0.72
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,[C][C][Branch1][C][C][C][=N][C][Branch2][=Branch1][Ring2][C][N][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch2][Ring2][P][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Branch1][C][O][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][C][=C][N][=C][S][Ring1][Branch1][C][Branch1][C][C][C][=C][S][Ring2][Ring2][#C],-0.7
COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,[C][O][C][=C][C][=C][Branch2][Ring2][=Branch1][C][C][N][Branch1][C][C][C][C][C][C@][Branch1][Ring1][C][#N][Branch1][P][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][C][Branch1][C][C][C][C][=C][Ring2][Ring1][=N][O][C],-0.7
O=C1CC=[N+](C2CC(F)C(CO)O2)C(=O)N1,[O][=C][C][C][=N+1][Branch1][#C][C][C][C][Branch1][C][F][C][Branch1][Ring1][C][O][O][Ring1][Branch2][C][=Branch1][C][=O][N][Ring1][#C],-0.69
NC(=O)c1cnn(C2OC(CO)C(O)C2O)n1,[N][C][=Branch1][C][=O][C][C][=N][N][Branch1][S][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][Branch2][O][N][=Ring1][=C],-0.67
O=[N+]([O-])C1=CC=NC1NCCSCc1ncccc1Br,[O][=N+1][Branch1][C][O-1][C][=C][C][=N][C][Ring1][Branch1][N][C][C][S][C][C][=N][C][=C][C][=C][Ring1][=Branch1][Br],-0.67
Cc1cccc(COc2cccc(/C=C3\C(=O)NN(c4ccccc4)C3=O)c2)c1,[C][C][=C][C][=C][C][Branch2][Ring2][Branch1][C][O][C][=C][C][=C][C][Branch2][Ring1][#Branch1][/C][=C][\C][=Branch1][C][=O][N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N][=O][=C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][N],-0.66
O=C1NCC(c2ccccc2)C2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)O1,[O][=C][N][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring2][N][C][C][N][Branch2][Ring1][P][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][=C][C][C][Ring2][Ring1][=Branch1][O][Ring2][Ring1][P],-0.66
O=[N+]([O-])C1=CC=NC1NCCSCc1ccccn1,[O][=N+1][Branch1][C][O-1][C][=C][C][=N][C][Ring1][Branch1][N][C][C][S][C][C][=C][C][=C][C][=N][Ring1][=Branch1],-0.66
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,[C][C][C][Branch1][C][C][N][N][=C][N][Branch2][=Branch1][#Branch1][C][=C][C][=C][Branch2][Branch1][O][N][C][C][N][Branch2][Ring2][#C][C][=C][C][=C][Branch2][Ring2][Ring1][O][C][C][C][O][C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][Branch1][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][O][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][O][C][C][Ring2][Ring1][P][C][=C][Ring2][Ring2][#Branch1][C][Ring2][Ring2][N][=O],-0.64
CC(=O)Cc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,[C][C][=Branch1][C][=O][C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C][=C][C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][=C][C][=C][Ring1][O][N][C][=C][Ring2][Ring1][Branch1],-0.62
COc1ccc2c3c1O[C@H]1[C@H](O)CC[C@@]4(O)C(C2)N(C)CC[C@]314,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C@H1][C@H1][Branch1][C][O][C][C][C@@][Branch1][C][O][C][Branch1][Ring2][C][Ring1][=N][N][Branch1][C][C][C][C][C@][Ring1][P][Ring1][=C][Ring1][=Branch2],-0.6
Cc1nc(N2CCc3ccccc3CC2)c([N+](=O)[O-])c(=O)[nH]1,[C][C][=N][C][Branch1][S][N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][O][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][NH1][Ring2][Ring1][Branch1],-0.59
O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2ccn(CCN3CCCC3)c2c1,[O][=C][Branch2][Ring1][=Branch1][C][C][=C][C][=C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=C][N][C][=C][C][=C][C][=C][N][Branch1][#Branch2][C][C][N][C][C][C][C][Ring1][Branch1][C][Ring1][N][=C][Ring1][S],-0.59
CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][#C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=C][Ring1][S],-0.58
Oc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,[O][C][=C][C][=C][C][Branch2][Ring2][Branch2][C][=C][C][=C][C][=C][Branch1][C][O][C][=C][C][Ring1][#Branch1][=C][Ring1][O][O][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][#C][=C][Ring2][Ring1][P],-0.57
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O,[C][N][Branch1][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C@H1][C][C@H1][C@@H1][Branch1][=Branch1][N][Branch1][C][C][C][C][=Branch1][C][=O][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Branch1][C][O][C@@][Ring1][=C][Branch1][C][O][C][=Branch1][C][=O][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][Branch2][O],-0.52
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O,[C][N][Branch1][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C@H1][C][C@H1][C@H1][Branch1][=Branch1][N][Branch1][C][C][C][C][=Branch1][C][=O][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Branch1][C][O][C@@][Ring1][=C][Branch1][C][O][C][=Branch1][C][=O][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][Branch2][O],-0.52
COc1cc(/C=C/C(=O)NCCn2c(C)cc3ccccc32)cc(OC)c1OC,[C][O][C][=C][C][Branch2][Ring1][#Branch2][/C][=C][/C][=Branch1][C][=O][N][C][C][N][C][Branch1][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][=C][C][Branch1][Ring1][O][C][=C][Ring2][Ring1][=Branch2][O][C],-0.52
O=c1[nH]c2ccc(S(=O)CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1,[O][=C][NH1][C][=C][C][=C][Branch2][Ring1][=N][S][=Branch1][C][=O][C][C][N][C][C][C][Branch1][=N][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][Ring1][=C][C][=C][Ring2][Ring1][Branch2][O][Ring2][Ring1][O],-0.52
O=C(CF)NCCCCCC(=O)Nc1ccccc1,[O][=C][Branch1][Ring1][C][F][N][C][C][C][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.51
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)[O-])C(C)(C)CCC1,[C][C][=C][Branch2][Ring1][Ring2][/C][=C][/C][Branch1][C][C][=C][/C][=C][/C][Branch1][C][C][=C][\C][=Branch1][C][=O][O-1][C][Branch1][C][C][Branch1][C][C][C][C][C][Ring2][Ring1][Branch1],-0.49
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,[C][C][=C][Branch2][Ring1][Ring2][/C][=C][/C][Branch1][C][C][=C][/C][=C][/C][Branch1][C][C][=C][/C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][C][Ring2][Ring1][Branch1],-0.49
CC(C)(C)NC(=O)[C@@]1(c2c(C(=O)O)[nH]c3cc(Cl)ccc23)N2C(=O)[C@]21c1ccc(OCc2ccc(Cl)cc2)cc1,[C][C][Branch1][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C@@][Branch2][Ring1][Branch2][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][NH1][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][=N][Ring1][#Branch1][N][C][=Branch1][C][=O][C@][Ring1][Ring2][Ring2][Ring1][C][C][=C][C][=C][Branch1][=C][O][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Ring1][#C],-0.46
CC1CN(Cc2ncccn2)CC1c1nc2c(cnn2C2CCOCC2)c(=O)[nH]1,[C][C][C][N][Branch1][#Branch2][C][C][=N][C][=C][C][=N][Ring1][=Branch1][C][C][Ring1][N][C][=N][C][=C][Branch1][=C][C][=N][N][Ring1][Branch1][C][C][C][O][C][C][Ring1][=Branch1][C][=Branch1][C][=O][NH1][Ring1][S],-0.4
Cc1nc(NC(=O)C2c3ccccc3Oc3ccccc32)no1,[C][C][=N][C][Branch2][Ring1][#Branch2][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=C][=N][O][Ring2][Ring1][=Branch1],-0.4
CC(C)(C)/[N+]([O-])=C/c1cc[n+]([O-])cc1,[C][C][Branch1][C][C][Branch1][C][C][/N+1][Branch1][C][O-1][=C][/C][=C][C][=N+1][Branch1][C][O-1][C][=C][Ring1][#Branch1],-0.38
CN(C)S(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,[C][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][Branch2][C][=C][C][=C][C][=C][Branch1][C][O][C][=C][C][Ring1][#Branch1][=C][Ring1][O][O][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][#C][C][=C][Ring2][Ring1][P],-0.37
CC(=O)O[C@H]1Cc2ccccc2[C@@H](C(N)=O)c2ccccc21,[C][C][=Branch1][C][=O][O][C@H1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][C],-0.34
